IID	PRS	PRS_Risk_Group	PRS_Percentile	sample	pop	super_pop	gender
HG03267	0.943396527	Intermediate	70.08785942492013	HG03267	ESN	AFR	female
HG03268	1.0538088600000002	High	81.78913738019169	HG03268	ESN	AFR	male
HG03270	1.0732116	High	83.58626198083067	HG03270	ESN	AFR	female
HG03271	1.06203282	High	82.5479233226837	HG03271	ESN	AFR	male
HG03279	1.14581224	High	89.81629392971246	HG03279	ESN	AFR	female
HG03280	1.22249791	High	94.8482428115016	HG03280	ESN	AFR	male
HG03291	0.96354611	Intermediate	72.72364217252397	HG03291	ESN	AFR	female
HG03294	1.1621057099999998	High	91.41373801916932	HG03294	ESN	AFR	female
HG03295	1.35763808	High	98.64217252396166	HG03295	ESN	AFR	male
HG03297	1.07207946	High	83.50638977635782	HG03297	ESN	AFR	female
HG03298	1.12364149	High	88.17891373801918	HG03298	ESN	AFR	male
HG03300	0.7552984302000001	Intermediate	49.84025559105431	HG03300	ESN	AFR	female
HG03301	1.0990384120000003	High	86.18210862619809	HG03301	ESN	AFR	male
HG03303	1.1795802370000004	High	92.41214057507987	HG03303	ESN	AFR	female
HG03304	0.941085743	Intermediate	69.88817891373802	HG03304	ESN	AFR	male
HG03311	1.1920008399999995	High	93.13099041533548	HG03311	ESN	AFR	male
HG03313	0.90144044	Intermediate	65.21565495207668	HG03313	ESN	AFR	male
HG03342	1.2167290299999998	High	94.4888178913738	HG03342	ESN	AFR	female
HG03343	1.08281635	High	84.30511182108627	HG03343	ESN	AFR	male
HG03351	0.99563362	Intermediate	76.0782747603834	HG03351	ESN	AFR	female
HG03352	1.20412917	High	93.84984025559106	HG03352	ESN	AFR	male
HG03354	1.05421684	High	81.82907348242811	HG03354	ESN	AFR	female
HG03363	0.98994915	Intermediate	75.43929712460063	HG03363	ESN	AFR	female
HG03366	1.0767599	High	83.90575079872204	HG03366	ESN	AFR	female
HG03367	1.279265875	High	96.80511182108629	HG03367	ESN	AFR	male
HG03369	0.98327715	Intermediate	74.84025559105432	HG03369	ESN	AFR	female
HG03370	0.91838474	Intermediate	67.25239616613419	HG03370	ESN	AFR	male
HG03372	1.2114511820000002	High	94.16932907348244	HG03372	ESN	AFR	female
HG03376	0.8072754400000001	Intermediate	54.07348242811501	HG03376	MSL	AFR	male
HG03378	1.08411199	High	84.58466453674122	HG03378	MSL	AFR	female
HG03380	0.74459839	Intermediate	49.24121405750799	HG03380	MSL	AFR	female
HG03382	0.99480554	Intermediate	75.95846645367412	HG03382	MSL	AFR	male
HG03385	1.2389917699999995	High	95.44728434504792	HG03385	MSL	AFR	male
HG03388	1.29909528	High	97.48402555910543	HG03388	MSL	AFR	male
HG03391	1.0785135299999995	High	84.02555910543131	HG03391	MSL	AFR	male
HG03394	1.3621188700000002	High	98.68210862619809	HG03394	MSL	AFR	male
HG03397	1.26456749	High	96.24600638977635	HG03397	MSL	AFR	male
HG03401	0.8343689199999998	Intermediate	56.90894568690096	HG03401	MSL	AFR	female
HG03410	1.0749929	High	83.70607028753993	HG03410	MSL	AFR	female
HG03419	1.1418119099999997	High	89.5367412140575	HG03419	MSL	AFR	female
HG03428	1.2081379800000005	High	93.96964856230032	HG03428	MSL	AFR	female
HG03432	1.1975978	High	93.53035143769968	HG03432	MSL	AFR	male
HG03433	1.07779579	High	83.98562300319489	HG03433	MSL	AFR	male
HG03436	1.0392648800000002	High	80.47124600638978	HG03436	MSL	AFR	male
HG03437	1.26324112	High	96.1661341853035	HG03437	MSL	AFR	female
HG03439	0.97334489	Intermediate	74.00159744408946	HG03439	MSL	AFR	male
HG03442	0.7835696090000001	Intermediate	52.23642172523961	HG03442	MSL	AFR	male
HG03445	1.1021394600000003	High	86.3817891373802	HG03445	MSL	AFR	male
HG03446	1.297721673	High	97.444089456869	HG03446	MSL	AFR	female
