IID	PRS
HG00689	-3.5715890000000003
HG00690	-2.1641925199999994
HG00692	-2.7704340999999997
HG00693	-3.2392721
HG00698	-2.591108
HG00699	-2.2235196000000004
HG00701	-2.144158100000001
HG00704	-2.01884871
HG00705	-2.6495963499999995
HG00707	-2.1853032999999997
HG00708	-3.4715155999999996
HG00717	-3.04981089
HG00728	-1.6289333
HG00729	-3.9307975
HG00731	-4.044690071000001
HG00732	-2.0207431000000007
HG00734	-2.003598
HG00736	-3.2470752999999997
HG00737	-3.1523093
HG00739	-4.120219
HG00740	-4.4696017
HG00742	-3.38690765
HG00743	-3.6057496
HG00759	-2.6730263
HG00766	-2.25659378
HG00844	-4.5760302699999995
HG00851	-1.7945019000000004
HG00864	-3.0061563000000002
HG00867	-2.6986837999999995
HG00879	-4.669199199999999
HG00881	-4.283186300000001
HG00956	-3.3614316999999994
HG00978	-2.9288781000000013
HG00982	-1.6646511999999996
HG01028	-2.0639543
HG01029	-3.2911634899999997
HG01031	-1.6763735000000004
HG01046	-2.7564575200000005
HG01047	-3.3214292
HG01048	-3.0877054999999993
HG01049	-0.733444
HG01051	-2.0699878999999997
HG01052	-1.8266243
HG01054	-2.4651972300000002
HG01055	-3.5119113000000013
HG01058	-2.8791975999999995
HG01060	-2.904871500000001
HG01061	-3.22784
HG01063	-2.8061976
HG01064	-1.8581351
HG01066	-3.441121199999999
HG01067	-4.3277688
HG01069	-2.3936009000000005
HG01070	-2.8246173999999997
HG01072	-1.0569694799999996
HG01073	-3.272943
HG01075	-2.6141162999999996
HG01077	-3.1893221
HG01079	-3.6775990000000007
HG01080	-0.41062520000000025
HG01082	-3.3195206000000006
HG01083	-3.9959965000000013
HG01085	-4.1772121
HG01086	-2.6938673
HG01088	-3.6777105000000003
HG01089	-4.620346100000001
HG01092	-2.7757823000000004
HG01094	-3.6908841
HG01095	-2.945844364200001
HG01097	-1.9237824000000001
HG01098	-2.4377942000000004
HG01101	-4.084949
HG01102	-2.0341127
HG01104	-2.121004799999999
HG01105	-3.1328273000000006
HG01107	-2.8573722
HG01108	-3.2739767999999994
HG01110	-1.8117815000000006
HG01111	-2.8330015000000004
HG01112	-4.0525935
HG01113	-2.94726743
HG01119	-2.3559286000000004
HG01121	-3.3405087870000005
HG01122	-1.6248308
HG01124	-3.0180838
HG01125	-3.2773345000000003
HG01130	-2.1929332
HG01131	-2.080143600000001
HG01133	-4.166010399999999
HG01134	-3.1142773000000004
HG01136	-3.3054280999999994
HG01137	-1.0418881400000006
HG01139	-2.6191799000000002
HG01140	-2.6421898000000006
HG01142	1.1287029000000004
HG01148	-2.4319468000000004
HG01149	-4.200530000000001
HG01161	-3.3283800000000006
HG01162	-4.209406550000001
HG01164	-2.4416610850000002
HG01167	-1.5992233999999996
HG01168	-3.2822663080000005
HG01170	-3.360890200000001
HG01171	-3.375306039999999
HG01173	-0.6279787000000011
HG01174	-3.47350323
HG01176	-3.2608598000000004
HG01177	-3.654958399999999
HG01182	-3.5474550999999996
HG01183	-2.568335600000001
HG01187	-2.8603280800000004
HG01188	-4.396346299999999
HG01190	-2.3448294000000014
HG01191	-1.4247409999999991
HG01197	-3.335437499999999
HG01198	-3.4625245
HG01200	-3.5694721
HG01204	-3.9897502200000003
HG01205	-2.7673734200000006
HG01241	0.1496176999999998
HG01242	-2.4631821000000005
HG01247	-2.53603169
HG01248	-3.856240400000001
HG01250	-4.039963300000001
HG01251	-3.8783674000000015
HG01253	-2.962832100000001
HG01254	-3.1768494999999994
HG01256	-3.1685127
HG01257	-2.30467623
HG01259	-3.673250199999999
HG01260	-3.674921999999999
HG01269	-3.0518755
HG01271	-3.7311764
HG01272	-2.2098150000000003
HG01275	-1.0130900100000004
HG01277	-4.469866999999998
HG01280	-1.2670312799999994
HG01281	-3.823609
HG01284	-0.7007771300000001
HG01286	-2.02369634
HG01302	-3.0861762899999996
HG01303	-2.7124601999999998
HG01305	-2.3645405
HG01308	-1.7366541999999998
HG01311	-0.3361475999999999
HG01312	-2.0644313000000007
HG01323	-3.7134988
HG01325	-2.7707134000000004
HG01326	-3.253826
HG01334	-4.186902700000001
HG01341	-3.1571328
HG01342	-2.1270672999999993
HG01344	-4.1251092599999994
HG01345	-2.3326389400000007
