IID	PRS
HG00346	-1.0064890000000002
HG00349	-1.6319789999999996
HG00350	-1.0482069999999994
HG00351	-1.2479640000000003
HG00353	-1.096382
HG00355	-0.47079099999999985
HG00356	-0.51381
HG00357	-1.43088
HG00358	-0.9068650000000001
HG00360	-1.003623
HG00361	-0.6713129999999999
HG00362	-1.331731
HG00364	-1.0067130000000002
HG00365	-1.3792659999999997
HG00366	-1.6643919999999996
HG00367	-1.3857099999999998
HG00368	-0.7445069999999999
HG00369	-0.5049719999999999
HG00371	-1.1781140000000003
HG00372	-1.5967330000000004
HG00373	-0.6717310000000003
HG00375	-0.7253820000000001
HG00376	-1.6904619999999995
HG00378	-1.3979940000000002
HG00379	-1.395145
HG00380	-1.2306900000000003
HG00381	-1.023222
HG00382	-1.1144640000000001
HG00383	-0.7152629999999999
HG00384	-1.8888650000000002
HG00403	-0.958446
HG00404	-0.490278
HG00406	-0.9037290000000001
HG00407	-0.506374
HG00409	-1.147421
HG00410	-0.9369690000000002
HG00419	-0.8978740000000001
HG00421	-0.709461
HG00422	-1.2066979999999998
HG00428	-0.7386299999999999
HG00436	-1.0922830000000003
HG00437	-1.038162
HG00442	-0.41755600000000004
HG00443	-0.6245399999999999
HG00445	-0.595885
HG00446	-0.6090660000000001
HG00448	-1.1662100000000002
HG00449	-0.613024
HG00451	-1.29111
HG00452	-0.985153
HG00457	-0.5921810000000001
HG00458	-0.648088
HG00463	-0.8462730000000002
HG00464	-0.9275080000000001
HG00472	-0.8153549999999999
HG00473	-0.8867710000000001
HG00475	-0.5952609999999999
HG00476	-1.0492769999999998
HG00478	-0.8379699999999998
HG00479	-0.7884640000000002
HG00500	-0.7951440000000001
HG00513	-0.8260529999999997
HG00524	-0.48480300000000004
HG00525	-1.095883
HG00530	-0.546693
HG00531	-0.6099570000000002
HG00533	-0.7940029999999999
HG00534	-1.156899
HG00536	-1.136458
HG00537	-0.8049059999999999
HG00542	-0.6529309999999999
HG00543	-1.0332370000000002
HG00551	-0.774505
HG00553	-1.8762539999999999
HG00554	-0.749287
HG00556	-0.9384860000000002
HG00557	-0.901666
HG00559	-0.749291
HG00560	-0.7697840000000001
HG00565	-0.8769289999999998
HG00566	-1.4024060000000005
HG00580	-0.7157070000000001
HG00581	-1.035755
HG00583	-0.649896
HG00584	-0.9506399999999999
HG00589	-0.6813650000000002
HG00590	-0.7721600000000003
HG00592	-0.4688960000000001
HG00593	-0.8649540000000001
HG00595	-0.645555
HG00596	-0.621959
HG00598	-0.419356
HG00599	-1.3149
HG00607	-1.0271139999999999
HG00608	-0.6085840000000001
HG00610	0.0037250000000000165
HG00611	-1.287809
HG00613	-0.5778550000000001
HG00614	-0.677395
HG00619	-0.6047049999999999
HG00620	-0.90545
HG00622	-0.853629
HG00623	-0.7087669999999999
HG00625	-0.5808859999999999
HG00626	-0.9992680000000002
HG00628	-0.902563
HG00629	-0.7908850000000002
HG00631	-1.030299
HG00632	-0.6538839999999999
HG00634	-0.5702219999999999
HG00637	-1.4136519999999997
HG00638	-1.073773
HG00640	-1.175135
HG00641	-1.0104779999999998
HG00650	-0.537085
HG00651	-0.8242189999999999
HG00653	-1.152118
HG00654	-0.8152310000000003
HG00656	-0.6139420000000001
HG00657	-0.92644
HG00662	-0.7645030000000002
HG00663	-0.6374909999999998
HG00671	-0.676535
HG00672	-1.08697
HG00674	-0.8936310000000002
HG00675	-1.1329840000000002
HG00683	-0.916326
HG00684	-0.596866
HG00689	-1.067241
HG00690	-0.7941599999999998
HG00692	-1.0525140000000002
HG00693	-1.092177
HG00698	-0.9272110000000001
HG00699	-0.7437699999999999
HG00701	-0.742551
HG00704	-0.8851479999999999
HG00705	-1.3413099999999998
HG00707	-1.16519
HG00708	-0.8603649999999997
HG00717	-0.9301940000000001
HG00728	-1.052697
HG00729	-0.26796799999999993
HG00731	-1.387392
HG00732	-2.0475939999999997
HG00734	-0.8913919999999999
HG00736	-1.3713910000000002
HG00737	-1.3052870000000005
HG00739	-0.583387
HG00740	-1.2642069999999994
HG00742	-1.324546
HG00743	-0.9069529999999999
HG00759	-0.949048
HG00766	-0.6437729999999999
HG00844	-1.2453849999999997
HG00851	-0.6717219999999999
HG00864	-0.9070320000000001
HG00867	-0.9575940000000001
HG00879	-0.6602450000000001
HG00881	-1.105341
HG00956	-0.307005
HG00978	-0.7297870000000002
HG00982	-0.5693469999999999
HG01028	-0.7371090000000002
HG01029	-0.9846470000000002
HG01031	-0.8947660000000001
HG01046	-1.0295930000000002
HG01047	-1.2405549999999996
HG01048	-0.810992
HG01049	-1.003265
HG01051	-0.7404070000000003
HG01052	-0.888696
HG01054	-0.8182879999999999
HG01055	-1.2880309999999997
HG01058	-0.8495210000000002
HG01060	-1.2469029999999999
HG01061	-1.171956
HG01063	-0.606978
HG01064	-1.152956
HG01066	-0.893812
HG01067	-0.6520980000000001
HG01069	-1.075079
HG01070	-0.7910900000000002
