IID	PRS
HG01112	-22.6103
HG01113	-21.508699999999994
HG01119	-22.736399999999996
HG01121	-24.714999999999996
HG01122	-19.1912
HG01124	-21.727700000000006
HG01125	-22.878799999999995
HG01130	-21.4424
HG01131	-20.628100000000003
HG01133	-21.873200000000004
HG01134	-19.656599999999994
HG01136	-22.3429
HG01137	-24.0402
HG01139	-21.438300000000005
HG01140	-23.2637
HG01142	-20.379399999999997
HG01148	-23.083199999999998
HG01149	-22.903999999999996
HG01161	-18.5299
HG01162	-20.0067
HG01164	-23.7634
HG01167	-21.79040000000001
HG01168	-20.180500000000002
HG01170	-22.799499999999995
HG01171	-19.4292
HG01173	-19.3382
HG01174	-21.936400000000006
HG01176	-21.8734
HG01177	-23.7038
HG01182	-21.8724
HG01183	-19.67590000000001
HG01187	-19.240399999999998
HG01188	-20.570800000000002
HG01190	-24.330700000000004
HG01191	-19.526099999999992
HG01197	-25.141400000000004
HG01198	-24.501699999999996
HG01200	-24.754399999999993
HG01204	-25.885599999999997
HG01205	-23.4275
HG01241	-19.5765
HG01242	-22.854400000000002
HG01247	-20.991199999999996
HG01248	-20.235200000000003
HG01250	-23.7882
HG01251	-23.266099999999998
HG01253	-21.846500000000002
HG01254	-22.3856
HG01256	-25.0886
HG01257	-20.466500000000003
HG01259	-20.988800000000005
HG01260	-23.6155
HG01269	-23.00899999999999
HG01271	-23.398700000000005
HG01272	-20.517799999999994
HG01275	-23.6211
HG01277	-19.2665
HG01280	-23.8026
HG01281	-19.8675
HG01284	-21.555500000000002
HG01286	-23.309999999999995
HG01302	-22.4627
HG01303	-21.0977
HG01305	-17.5769
HG01308	-22.9537
HG01311	-23.195800000000006
HG01312	-19.090000000000003
HG01323	-18.718199999999996
HG01325	-24.191300000000002
HG01326	-22.7063
HG01334	-23.318699999999996
HG01341	-22.935299999999998
HG01342	-23.7766
HG01344	-24.4355
HG01345	-21.8274
HG01348	-17.944000000000006
HG01350	-25.108399999999996
HG01351	-22.497000000000003
HG01353	-20.984
HG01354	-21.4069
HG01356	-21.622999999999998
HG01357	-23.0608
HG01359	-20.223200000000002
HG01360	-25.9825
HG01362	-20.178500000000007
HG01363	-23.256700000000002
HG01365	-22.614300000000004
HG01366	-19.933300000000006
HG01369	-21.976299999999995
HG01372	-21.81779999999999
HG01374	-24.008399999999995
HG01375	-17.627999999999997
HG01377	-23.324400000000004
HG01378	-24.9697
HG01383	-24.301100000000005
HG01384	-26.797099999999997
HG01389	-21.8798
HG01390	-24.3448
HG01392	-24.917399999999997
HG01393	-24.318499999999997
HG01395	-23.147100000000005
HG01396	-20.200999999999997
HG01398	-22.366500000000002
HG01402	-20.9
HG01403	-22.112900000000007
HG01405	-19.935699999999997
HG01412	-20.927200000000006
HG01413	-23.38570000000001
HG01414	-21.9201
HG01431	-23.837
HG01432	-20.663999999999994
HG01435	-19.7128
HG01437	-18.967700000000004
HG01438	-17.512900000000002
HG01440	-21.9853
HG01441	-19.551199999999994
HG01443	-20.8957
HG01444	-21.279600000000006
HG01447	-21.8361
HG01455	-20.406400000000005
HG01456	-22.812999999999995
HG01459	-23.7193
HG01461	-18.6799
HG01462	-19.499499999999998
HG01464	-21.368099999999995
HG01465	-20.499700000000004
HG01468	-21.427999999999994
HG01474	-21.734899999999996
HG01479	-21.7828
HG01485	-23.7471
HG01486	-19.254800000000003
HG01488	-22.911400000000004
HG01489	-22.678499999999993
HG01491	-24.302699999999998
HG01492	-24.734399999999997
HG01494	-21.5646
HG01495	-27.9456
HG01497	-22.8408
HG01498	-25.419400000000003
HG01500	-21.797300000000003
HG01501	-20.326400000000003
HG01503	-23.422
HG01504	-22.9907
HG01506	-20.240799999999997
HG01507	-22.875500000000002
HG01509	-19.878
HG01510	-22.817999999999998
HG01512	-22.935100000000002
HG01513	-20.5838
HG01515	-21.689999999999994
HG01516	-20.8782
HG01518	-21.671899999999994
HG01519	-23.804000000000002
HG01521	-24.284599999999998
HG01522	-19.309500000000003
HG01524	-21.535300000000003
HG01525	-22.083900000000003
HG01527	-21.461500000000008
HG01528	-19.499200000000002
HG01530	-21.5772
HG01531	-23.9849
HG01536	-21.160499999999995
HG01537	-23.3472
HG01550	-24.95179999999999
HG01551	-22.490299999999998
HG01556	-22.865499999999997
HG01565	-24.760600000000004
HG01566	-22.354299999999995
HG01571	-23.700399999999995
HG01572	-23.232200000000002
HG01577	-19.5235
HG01578	-21.8544
HG01583	-20.043699999999998
HG01586	-20.0612
HG01589	-22.115299999999998
HG01593	-21.8411
HG01595	-19.519099999999998
HG01596	-24.30629999999999
HG01597	-23.110699999999998
HG01598	-20.358199999999997
HG01599	-21.931900000000002
HG01600	-23.145599999999995
HG01602	-21.281399999999998
HG01603	-20.843600000000002
HG01605	-22.189200000000003
