IID	PRS	PRS_Group
HG00250	-24.2745	Low
HG00251	-23.554500000000004	Low
HG00252	-24.69039999999999	Low
HG00253	-21.851700000000005	Intermediate
HG00254	-25.38470000000001	Low
HG00255	-22.9577	Intermediate
HG00256	-24.4063	Low
HG00257	-21.5572	Intermediate
HG00258	-25.219099999999997	Low
HG00259	-21.198300000000003	Intermediate
HG00260	-24.2018	Low
HG00261	-17.622999999999998	High
HG00262	-25.43980000000001	Low
HG00263	-22.937700000000003	Intermediate
HG00264	-24.903899999999997	Low
HG00265	-21.4324	Intermediate
HG00266	-19.927999999999997	High
HG00267	-19.274	High
HG00268	-24.2181	Low
HG00269	-20.831199999999995	Intermediate
HG00271	-21.5409	Intermediate
HG00272	-20.3578	Intermediate
HG00273	-21.239500000000007	Intermediate
HG00274	-20.407400000000003	Intermediate
HG00275	-21.6609	Intermediate
HG00276	-21.2662	Intermediate
HG00277	-24.4992	Low
HG00278	-17.405299999999997	High
HG00280	-20.9293	Intermediate
HG00281	-23.814199999999992	Low
HG00282	-22.6318	Intermediate
HG00284	-23.0098	Intermediate
HG00285	-22.4693	Intermediate
HG00288	-19.66390000000001	High
HG00290	-18.014799999999997	High
HG00304	-23.323000000000004	Low
HG00306	-18.103599999999997	High
HG00308	-19.891700000000004	High
HG00309	-20.534499999999998	Intermediate
HG00310	-24.480300000000007	Low
HG00311	-21.363399999999995	Intermediate
HG00313	-21.184	Intermediate
HG00315	-23.891900000000007	Low
HG00318	-24.8651	Low
HG00319	-22.176	Intermediate
HG00320	-24.698599999999995	Low
HG00321	-22.45340000000001	Intermediate
HG00323	-23.0078	Intermediate
HG00324	-25.676600000000004	Low
HG00325	-20.46	Intermediate
HG00326	-24.6844	Low
HG00327	-21.341800000000003	Intermediate
HG00328	-24.329	Low
HG00329	-21.9639	Intermediate
HG00330	-22.1025	Intermediate
HG00331	-22.0024	Intermediate
HG00332	-18.960899999999995	High
HG00334	-24.4268	Low
HG00335	-20.295700000000004	High
HG00336	-20.163	High
HG00337	-21.2811	Intermediate
HG00338	-20.31140000000001	High
HG00339	-19.4731	High
HG00341	-22.312300000000004	Intermediate
HG00342	-24.3117	Low
HG00343	-20.9392	Intermediate
HG00344	-23.5333	Low
HG00345	-22.753200000000007	Intermediate
HG00346	-22.2365	Intermediate
HG00349	-20.920799999999996	Intermediate
HG00350	-22.6444	Intermediate
HG00351	-22.435	Intermediate
HG00353	-23.805699999999987	Low
HG00355	-22.614200000000004	Intermediate
HG00356	-20.3855	Intermediate
HG00357	-24.229900000000004	Low
HG00358	-22.9688	Intermediate
HG00360	-21.5238	Intermediate
HG00361	-22.260099999999994	Intermediate
HG00362	-23.079799999999995	Intermediate
HG00364	-21.3271	Intermediate
HG00365	-26.727000000000004	Low
HG00366	-22.364200000000004	Intermediate
HG00367	-24.1068	Low
HG00368	-19.0674	High
HG00369	-22.2821	Intermediate
HG00371	-18.2713	High
HG00372	-18.9546	High
HG00373	-23.7143	Low
HG00375	-22.100800000000003	Intermediate
HG00376	-20.2865	High
