IID	PRS	Risk_Group
HG01302	-3.08617629	Intermediate
HG01303	-2.7124602	Intermediate
HG01305	-2.3645405	Intermediate
HG01308	-1.7366541999999998	Intermediate
HG01311	-0.3361475999999999	High
HG01312	-2.0644313000000007	Intermediate
HG01323	-3.7134988	Low
HG01325	-2.7707134000000004	Intermediate
HG01326	-3.253826	Intermediate
HG01334	-4.186902700000001	Low
HG01341	-3.1571328	Intermediate
HG01342	-2.1270672999999998	Intermediate
HG01344	-4.12510926	Low
HG01345	-2.3326389400000007	Intermediate
HG01348	-3.875295	Low
HG01350	-4.284097999999999	Low
HG01351	-3.53106297	Intermediate
HG01353	-3.5030052000000005	Intermediate
HG01354	-3.1040905	Intermediate
HG01356	-3.389139299999999	Intermediate
HG01357	-3.3996727999999994	Intermediate
HG01359	-2.2011895000000004	Intermediate
HG01360	-3.350416	Intermediate
HG01362	-2.96102712	Intermediate
HG01363	-3.56938548	Low
HG01365	-3.3429883000000005	Intermediate
HG01366	-3.4859637	Intermediate
HG01369	-1.1349730000000002	High
HG01372	-3.1994188	Intermediate
HG01374	-2.8265499000000003	Intermediate
HG01375	-2.9703309000000013	Intermediate
HG01377	-3.4161131	Intermediate
HG01378	-4.096372099999999	Low
HG01383	-3.9558056	Low
HG01384	-3.170645689	Intermediate
HG01389	-4.0443695	Low
HG01390	-2.6927071000000007	Intermediate
HG01392	-2.8935451	Intermediate
HG01393	-1.71626974	Intermediate
HG01395	-3.284542	Intermediate
HG01396	-3.774726100000001	Low
HG01398	-1.7123082999999997	Intermediate
HG01402	-1.6359863999999995	Intermediate
HG01403	-2.2867658	Intermediate
HG01405	-2.9859054999999994	Intermediate
HG01412	-2.996003199999999	Intermediate
HG01413	-2.9996609000000003	Intermediate
HG01414	-3.8260851	Low
HG01431	-3.7005792999999993	Low
HG01432	-4.4733978	Low
HG01435	-3.9628805000000007	Low
HG01437	-1.3092928000000008	Intermediate
HG01438	-1.9375506	Intermediate
HG01440	-2.7605803000000004	Intermediate
HG01441	-3.5565693999999994	Intermediate
HG01443	-3.3308820999999997	Intermediate
HG01444	-3.523495	Intermediate
HG01447	-2.4295450000000005	Intermediate
HG01455	-4.1448585	Low
HG01456	-2.0581730799999995	Intermediate
HG01459	-4.601859200000001	Low
HG01461	-2.3706758	Intermediate
HG01462	-1.2077030300000005	High
HG01464	-3.5534568	Intermediate
HG01465	-3.0810463	Intermediate
HG01468	-2.7136402	Intermediate
HG01474	-3.064054900000001	Intermediate
HG01479	-2.6579270000000004	Intermediate
HG01485	-1.2150206	High
HG01486	-3.744378900000001	Low
HG01488	-3.620051165000001	Low
HG01489	-2.019275499999999	Intermediate
HG01491	-2.8128665	Intermediate
HG01492	0.3347559000000001	High
HG01494	-3.4284524	Intermediate
HG01495	-2.9305645	Intermediate
HG01497	-4.029151	Low
HG01498	-3.5270624999999995	Intermediate
HG01500	-2.1764413	Intermediate
HG01501	-0.8247665000000002	High
HG01503	-2.554627700000001	Intermediate
HG01504	-2.5497858	Intermediate
HG01506	-2.2205523000000005	Intermediate
HG01507	-2.3000709	Intermediate
HG01509	-4.456447899999999	Low
HG01510	-1.5038543999999998	Intermediate
HG01512	-2.5707621	Intermediate
HG01513	-2.2564177	Intermediate
HG01515	-3.618780399999999	Low
HG01516	-4.394355200000001	Low
HG01518	-3.3935198	Intermediate
HG01519	-3.058338499999999	Intermediate
HG01521	-5.036680699999999	Low
HG01522	-2.1608874	Intermediate
HG01524	-3.750947699999999	Low
HG01525	-3.694720760000001	Low
HG01527	-2.2030876	Intermediate
HG01528	-4.4619831	Low
HG01530	-3.5651913	Low
HG01531	-2.4024818709999995	Intermediate
HG01536	-3.1608689	Intermediate
HG01537	-2.2337013000000008	Intermediate
HG01550	-3.859015440000001	Low
HG01551	-2.0914024	Intermediate
HG01556	-3.34041454	Intermediate
HG01565	-2.7880183000000005	Intermediate
HG01566	-2.2327279099999995	Intermediate
HG01571	-2.681348500000001	Intermediate
HG01572	-2.732814261	Intermediate
HG01577	-3.5009652000000004	Intermediate
HG01578	-1.22402704	High
HG01583	-1.9606945	Intermediate
HG01586	-0.3912555000000004	High
HG01589	-2.0164552	Intermediate
HG01593	-1.6345949000000006	Intermediate
HG01595	-3.7346155000000008	Low
HG01596	-3.4978996	Intermediate
HG01597	-3.9428572	Low
HG01598	-2.5087467999999995	Intermediate
HG01599	-2.3718636	Intermediate
HG01600	-3.056071200000001	Intermediate
HG01602	-2.958107000000001	Intermediate
HG01603	-2.995550549999999	Intermediate
HG01605	-1.4112928000000005	Intermediate
