IID	PRS	Risk_Group
HG02020	-0.941859	Intermediate
HG02023	-1.140867	Low
HG02025	-1.2342020000000005	Low
HG02026	-1.042028	Intermediate
HG02028	-0.7106610000000001	Intermediate
HG02029	-0.742234	Intermediate
HG02031	-0.544256	High
HG02032	-0.981238	Intermediate
HG02035	-0.600886	Intermediate
HG02040	-0.9238499999999998	Intermediate
HG02047	-0.7594430000000001	Intermediate
HG02048	-1.362815	Low
HG02049	-0.7057599999999999	Intermediate
HG02050	-1.133762	Intermediate
HG02051	-0.6404090000000001	Intermediate
HG02052	-0.730088	Intermediate
HG02053	-0.496047	High
HG02054	-0.602978	Intermediate
HG02057	-0.799546	Intermediate
HG02058	-0.8300330000000001	Intermediate
HG02060	-0.7323920000000003	Intermediate
HG02061	-0.6642840000000001	Intermediate
HG02064	-0.6720630000000001	Intermediate
HG02067	-0.960245	Intermediate
HG02069	-1.146157	Low
HG02070	-0.5924499999999999	Intermediate
HG02072	-0.6768500000000002	Intermediate
HG02073	-0.729671	Intermediate
HG02075	-1.0440210000000003	Intermediate
HG02076	-1.002649	Intermediate
HG02078	-0.909075	Intermediate
HG02079	-0.7153189999999996	Intermediate
HG02081	-0.7351850000000001	Intermediate
HG02082	-0.8964359999999999	Intermediate
HG02084	-0.812428	Intermediate
HG02085	-0.6986369999999998	Intermediate
HG02086	-1.070262	Intermediate
